년월,영업장,구분,메뉴명_한글,메뉴명_영문,제공대상,주문건수,제공수량
Jan-15,힐튼,숲/샌드위치,후라이드 에그(2알),Fried Egg,VIP,132,158
Jan-15,힐튼,숲/샌드위치,전복죽&도너츠,Rice Porridge with Abalone & doughnut ,일반,1240,1262
Jan-15,힐튼,숲/샌드위치,세븐럭샌드위치&양송이스프,Seven Luck Sandwich & Mushroom Soup,일반,634,641
Jan-15,힐튼,라이스류,고등어구이정식(VIP),Set Menu with Grilled Mackerel,VIP,531,544
Jan-15,힐튼,라이스류,해물유산슬덮밥,"Rice with Stir-fried Seafood, Vegetables and Beef ",일반,1366,1367
Jan-15,힐튼,라이스류,오므라이스&양송이스프,Omelet Rice &  Mushroom Soup,일반,1239,1244
Jan-15,힐튼,라이스류,참치김치찌개,Tuna and Kimchi Stew,일반,1178,1181
Jan-15,힐튼,라이스류,전복&참치회(VIP),Fresh Sashimi (Tuna and Abalones),VIP,904,996
Jan-15,힐튼,라이스류,아욱국정식,Soybean Paste Soup with Curled Mallow(아욱국정식),일반,2112,2120
Jan-15,힐튼,라이스류,LA갈비&돈육김치찌개(VIP),Korean-style Grilled Beef Ribs & Tuna and Kimchi Stew,VIP,771,820
Jan-15,힐튼,라이스류,두부전골,Tofu Hot Pot,일반,2855,2861
Jan-15,힐튼,라이스류,새싹참치회덮밥,Rice with Sliced Raw Tuna,일반,1849,1855
Jan-15,힐튼,라이스류,굴국밥,Oyster Rice Soup(굴국밥),일반,2055,2075
Jan-15,힐튼,라이스류,나주곰탕,NaJu Beef Bone Soup(나주곰탕),일반,4605,4639
Jan-15,힐튼,라이스류,카레정식,Curry Special,일반,1607,1614
Jan-15,힐튼,면류,돈육볶음쌀국수,Pork Stir-Fried Rice Noodles,일반,2202,2210
Jan-15,힐튼,면류,해산물토마토스파게티,Spaghetti with Tomato Sauce,일반,927,937
Jan-15,힐튼,면류,해물라면,Seafood Ramen,일반,1964,1980
Jan-15,힐튼,면류,어묵우동&순대,Fish Cake Udon & Korean Sausage ,일반,828,831
Jan-15,힐튼,면류,떡만두국,Rice Cake and Dumpling Soup,일반,1086,1091
Jan-15,힐튼,VIP안주,계절과일(VIP용),Seasonal Fresh Fruits,VIP,2609,2974
Jan-15,힐튼,VIP안주,육포(VIP용),Beef Jerky,VIP,383,401
Jan-15,힐튼,VIP안주,반건조한치(VIP용),Half Dried Cuttlefish,VIP,394,449
Jan-15,힐튼,VIP안주,모둠치즈(VIP용),Assorted Cheese,VIP,227,232
Jan-15,힐튼,브랜디,헤네시XO온더락,,일반,13,14
Jan-15,힐튼,브랜디,헤네시XO워터,,일반,8,9
Jan-15,힐튼,브랜디,헤네시XO스트레이트,,일반,28,53
Jan-15,힐튼,브랜디,브랜디 온더락(싱글),,일반,4,5
Jan-15,힐튼,위스키,조니워커블루 온더락,,일반,57,98
Jan-15,힐튼,위스키,조니워커블루 워터,,일반,1,1
Jan-15,힐튼,위스키,발렌타인17년 워터,,일반,3,3
Jan-15,힐튼,위스키,발렌타인17년 스트레이트,,일반,11,12
Jan-15,힐튼,위스키,발렌타인30년 스트레이트,,VIP,7,23
Jan-15,힐튼,위스키,조니워커블루 스트레이트,,일반,87,134
Jan-15,힐튼,위스키,발렌타인17년 온더락,,일반,73,88
Jan-15,힐튼,위스키,발렌타인30년 워터,,VIP,24,24
Jan-15,힐튼,위스키,발렌타인30년 온더락,,VIP,111,140
Jan-15,힐튼,레드와인,레드와인,,일반,65,189
Jan-15,힐튼,화이트와인,화이트와인,,일반,19,57
Jan-15,힐튼,맥주,아사히,,일반,91,111
Jan-15,힐튼,맥주,버드와이저,,VIP,6,8
Jan-15,힐튼,맥주,생맥주,,VIP,4,871
Jan-15,힐튼,맥주,생맥주,,일반,1,300
Jan-15,힐튼,생과일주스,생과일주스(키위),,VIP,363,383
Jan-15,힐튼,생과일주스,생과일주스(토마토),,VIP,210,222
Jan-15,힐튼,생과일주스,생과일주스(인삼),,VIP,106,112
Jan-15,힐튼,생과일주스,생과일주스(오렌지),,VIP,164,167
Jan-15,힐튼,아이스크림,딸기아이스크림,,일반,87,104
Jan-15,힐튼,아이스크림,바닐라아이스크림,,일반,154,186
Jan-15,힐튼,아이스크림,녹차아이스크림,,일반,90,105
Jan-15,힐튼,아이스크림,초코아이스크림,,일반,60,70
Jan-15,힐튼,주류(일반용),레드와인,,일반,275,712
Jan-15,힐튼,주류(일반용),브랜디 스트레이트,,일반,15,30
Jan-15,힐튼,주류(일반용),잭다니엘 스트레이트,,일반,4,5
Jan-15,힐튼,주류(일반용),소주 스트레이트,,일반,3,9
Jan-15,힐튼,주류(일반용),화이트와인,,일반,114,128
Jan-15,힐튼,주류(일반용),소주 온더락,,일반,31,32
Jan-15,힐튼,주류(일반용),보드카 스트레이트,,일반,1,1
Jan-15,힐튼,주류(일반용),위스키스트레이트(더블),,일반,19,25
Jan-15,힐튼,주류(일반용),생맥주+믹스넛,,일반,56,419
Jan-15,힐튼,주류(일반용),위스키온더락(싱글),,일반,79,85
Jan-15,힐튼,주류(일반용),보드카 온더락,,일반,5,6
Jan-15,힐튼,주류(일반용),생맥주,,일반,1657,14894
Jan-15,힐튼,주류(일반용),위스키스트레이트(싱글),,일반,35,38
Jan-15,힐튼,주류(일반용),잭다니엘 온더락,,일반,22,25
Jan-15,힐튼,주류(일반용),위스키온더락(더블),,일반,100,116
Jan-15,힐튼,칵테일,보드카 토닉,,일반,11,11
Jan-15,힐튼,칵테일,럼 콕,,일반,2,2
Jan-15,힐튼,칵테일,캄파리 소다,,일반,4,6
Jan-15,힐튼,칵테일,마티니,MARTINI,일반,3,3
Jan-15,힐튼,칵테일,소주우롱워터,,일반,65,68
Jan-15,힐튼,칵테일,위스키 콕,,일반,25,30
Jan-15,힐튼,칵테일,위스키 워터(COLD),,일반,158,171
Jan-15,힐튼,칵테일,위스키 진저엘,,일반,2,2
Jan-15,힐튼,칵테일,진 토닉,,일반,144,161
Jan-15,힐튼,칵테일,브랜디 워터,,일반,10,10
Jan-15,힐튼,칵테일,스크류 드라이버,,일반,2,2
Jan-15,힐튼,칵테일,소주 워터(HOT),,일반,1,1
Jan-15,힐튼,칵테일,잭 콕,,일반,18,21
Jan-15,힐튼,칵테일,위스키 워터(HOT),,일반,2,2
Jan-15,힐튼,칵테일,소주 워터(COLD),,일반,44,49
Jan-15,힐튼,칵테일,위스키 소다,,일반,72,75
Jan-15,힐튼,음료,진저엘,,일반,18,22
Jan-15,힐튼,음료,아이스 우롱차,,일반,248,279
Jan-15,힐튼,음료,대추차(VIP),,일반,10,10
Jan-15,힐튼,음료,아이스 보리차(오차),,일반,42,47
Jan-15,힐튼,음료,아이스 홍차,,일반,172,226
Jan-15,힐튼,음료,비락식혜(VIP),,일반,13,14
Jan-15,힐튼,음료,홍차,,일반,107,117
Jan-15,힐튼,음료,우유(HOT),,일반,306,7574
Jan-15,힐튼,음료,HOT WATER,,일반,52,60
Jan-15,힐튼,음료,매실주스,,일반,57,807
Jan-15,힐튼,음료,생강차(VIP),,일반,188,195
Jan-15,힐튼,음료,유자차(VIP),,일반,60,63
Jan-15,힐튼,음료,토닉워터,,일반,4,5
Jan-15,힐튼,음료,콜라,,일반,1353,11954
Jan-15,힐튼,음료,레몬티,,일반,50,55
Jan-15,힐튼,음료,우유(COLD),,일반,144,4434
Jan-15,힐튼,음료,HOT WATER(주전자),,VIP,6,6
