년월,영업장,구분,메뉴명_한글,메뉴명_영문,제공대상,주문건수,제공수량
Jan-15,코엑스,숲/샌드위치,해산물샐러드(VIP),Seafood Salad,VIP,137,201
Jan-15,코엑스,숲/샌드위치,과일도시락,Fruit Lunch Box,일반,775,819
Jan-15,코엑스,숲/샌드위치,세븐럭브런치,7 Luck Brunch,일반,926,1028
Jan-15,코엑스,숲/샌드위치,후라이드에그(VIP),Fried Egg,VIP,528,991
Jan-15,코엑스,숲/샌드위치,샌드위치,Sandwich,일반,1176,1208
Jan-15,코엑스,숲/샌드위치,일본식조정식,Japanese Breakfast,일반,1668,1851
Jan-15,코엑스,라이스류,해물누룽지탕,Seafood Soup with Browned Rice,일반,1034,1072
Jan-15,코엑스,라이스류,중화비빔밥,Chinese-Style Bibimbap,일반,1710,1807
Jan-15,코엑스,라이스류,생선회정식(VIP),Set Menu with Sliced Raw Fish,VIP,113,145
Jan-15,코엑스,라이스류,발아현미밥(VIP),,VIP,158,168
Jan-15,코엑스,라이스류,보리비빔밥정식(5월특선),Set Menu with Kimchi Stew,일반,1350,1404
Jan-15,코엑스,라이스류,카레라이스,Curry Rice,일반,2720,2750
Jan-15,코엑스,라이스류,등심스테이크(VIP),Beef Sirloin Steak,VIP,792,1023
Jan-15,코엑스,라이스류,훈제오리버섯볶음,Stir-fried Smoked Duck and Mushrooms,일반,1161,1184
Jan-15,코엑스,라이스류,함박&소고기볶음밥,Beef Fried Rice,일반,1916,1985
Jan-15,코엑스,라이스류,LA갈비구이정식,LA-Rib Set,일반,654,695
Jan-15,코엑스,라이스류,버섯갈비탕,Short-rib Stew,일반,370,397
Jan-15,코엑스,라이스류,공기밥,,VIP,378,1134
Jan-15,코엑스,라이스류,랍스터 스테이크(VIP),Lobster Steak,VIP,89,104
Jan-15,코엑스,라이스류,산채비빔밥정식,Set Menu with Wild Vegetable Bibimbap,일반,169,172
Jan-15,코엑스,라이스류,소고기부추잡채밥,Rice Topped with Stir-fried Noodles with Beef & Vegetables,일반,173,180
Jan-15,코엑스,라이스류,우거지갈비탕,Short-rib Stew,일반,2074,2165
Jan-15,코엑스,라이스류,순두부찌개,Seafood and Soft Tofu Stew,일반,879,889
Jan-15,코엑스,라이스류,돼지갈비정식,Grilled Spareribs Set,일반,1720,1778
